date,item,sales,prev_sales,dayofweek,weekofyear
2018-01-01,item_1,90,0.0,0,1
2018-01-02,item_1,73,90.0,1,1
2018-01-03,item_1,61,73.0,2,1
2018-01-04,item_1,82,61.0,3,1
2018-01-05,item_1,76,82.0,4,1
2018-01-06,item_1,63,76.0,5,1
2018-01-07,item_1,62,63.0,6,1
2018-01-08,item_1,72,62.0,0,2
2018-01-09,item_1,66,72.0,1,2
2018-01-10,item_1,60,66.0,2,2
2018-01-11,item_1,68,60.0,3,2
2018-01-12,item_1,79,68.0,4,2
2018-01-13,item_1,71,79.0,5,2
2018-01-14,item_1,62,71.0,6,2
2018-01-15,item_1,79,62.0,0,3
2018-01-16,item_1,58,79.0,1,3
2018-01-17,item_1,69,58.0,2,3
2018-01-18,item_1,71,69.0,3,3
2018-01-19,item_1,84,71.0,4,3
2018-01-20,item_1,75,84.0,5,3
2018-01-21,item_1,71,75.0,6,3
2018-01-22,item_1,83,71.0,0,4
2018-01-23,item_1,86,83.0,1,4
2018-01-24,item_1,63,86.0,2,4
2018-01-25,item_1,67,63.0,3,4
2018-01-26,item_1,65,67.0,4,4
2018-01-27,item_1,67,65.0,5,4
2018-01-28,item_1,72,67.0,6,4
2018-01-29,item_1,79,72.0,0,5
2018-01-30,item_1,63,79.0,1,5
2018-01-31,item_1,80,63.0,2,5
2018-02-01,item_1,77,80.0,3,5
2018-02-02,item_1,56,77.0,4,5
2018-02-03,item_1,59,56.0,5,5
2018-02-04,item_1,74,59.0,6,5
2018-02-05,item_1,54,74.0,0,6
2018-02-06,item_1,67,54.0,1,6
2018-02-07,item_1,74,67.0,2,6
2018-02-08,item_1,70,74.0,3,6
2018-02-09,item_1,76,70.0,4,6
2018-02-10,item_1,72,76.0,5,6
2018-02-11,item_1,71,72.0,6,6
2018-02-12,item_1,69,71.0,0,7
2018-02-13,item_1,59,69.0,1,7
2018-02-14,item_1,74,59.0,2,7
2018-02-15,item_1,71,74.0,3,7
2018-02-16,item_1,64,71.0,4,7
2018-02-17,item_1,78,64.0,5,7
2018-02-18,item_1,56,78.0,6,7
2018-02-19,item_1,79,56.0,0,8
2018-02-20,item_1,82,79.0,1,8
2018-02-21,item_1,72,82.0,2,8
2018-02-22,item_1,84,72.0,3,8
2018-02-23,item_1,59,84.0,4,8
2018-02-24,item_1,69,59.0,5,8
2018-02-25,item_1,82,69.0,6,8
2018-02-26,item_1,71,82.0,0,9
2018-02-27,item_1,64,71.0,1,9
2018-02-28,item_1,67,64.0,2,9
2018-03-01,item_1,66,67.0,3,9
2018-03-02,item_1,76,66.0,4,9
2018-03-03,item_1,64,76.0,5,9
2018-03-04,item_1,66,64.0,6,9
2018-03-05,item_1,71,66.0,0,10
2018-03-06,item_1,65,71.0,1,10
2018-03-07,item_1,64,65.0,2,10
2018-03-08,item_1,64,64.0,3,10
2018-03-09,item_1,78,64.0,4,10
2018-03-10,item_1,77,78.0,5,10
2018-03-11,item_1,74,77.0,6,10
2018-03-12,item_1,72,74.0,0,11
2018-03-13,item_1,80,72.0,1,11
2018-03-14,item_1,62,80.0,2,11
2018-03-15,item_1,73,62.0,3,11
2018-03-16,item_1,64,73.0,4,11
2018-03-17,item_1,62,64.0,5,11
2018-03-18,item_1,68,62.0,6,11
2018-03-19,item_1,60,68.0,0,12
2018-03-20,item_1,82,60.0,1,12
2018-03-21,item_1,75,82.0,2,12
2018-03-22,item_1,72,75.0,3,12
2018-03-23,item_1,64,72.0,4,12
2018-03-24,item_1,74,64.0,5,12
2018-03-25,item_1,67,74.0,6,12
2018-03-26,item_1,78,67.0,0,13
2018-03-27,item_1,57,78.0,1,13
2018-03-28,item_1,84,57.0,2,13
2018-03-29,item_1,75,84.0,3,13
2018-03-30,item_1,61,75.0,4,13
2018-03-31,item_1,76,61.0,5,13
2018-04-01,item_1,64,76.0,6,13
2018-04-02,item_1,64,64.0,0,14
2018-04-03,item_1,77,64.0,1,14
2018-04-04,item_1,81,77.0,2,14
2018-04-05,item_1,73,81.0,3,14
2018-04-06,item_1,68,73.0,4,14
2018-04-07,item_1,68,68.0,5,14
2018-04-08,item_1,74,68.0,6,14
2018-04-09,item_1,71,74.0,0,15
2018-04-10,item_1,71,71.0,1,15
2018-04-11,item_1,77,71.0,2,15
2018-04-12,item_1,68,77.0,3,15
2018-04-13,item_1,86,68.0,4,15
2018-04-14,item_1,81,86.0,5,15
2018-04-15,item_1,68,81.0,6,15
2018-04-16,item_1,66,68.0,0,16
2018-04-17,item_1,72,66.0,1,16
2018-04-18,item_1,76,72.0,2,16
2018-04-19,item_1,58,76.0,3,16
2018-04-20,item_1,71,58.0,4,16
2018-04-21,item_1,77,71.0,5,16
2018-04-22,item_1,76,77.0,6,16
2018-04-23,item_1,66,76.0,0,17
2018-04-24,item_1,79,66.0,1,17
2018-04-25,item_1,85,79.0,2,17
2018-04-26,item_1,71,85.0,3,17
2018-04-27,item_1,75,71.0,4,17
2018-04-28,item_1,67,75.0,5,17
2018-04-29,item_1,58,67.0,6,17
2018-04-30,item_1,72,58.0,0,18
2018-05-01,item_1,73,72.0,1,18
2018-05-02,item_1,67,73.0,2,18
2018-05-03,item_1,71,67.0,3,18
2018-05-04,item_1,63,71.0,4,18
2018-05-05,item_1,57,63.0,5,18
2018-05-06,item_1,72,57.0,6,18
2018-05-07,item_1,74,72.0,0,19
2018-05-08,item_1,66,74.0,1,19
2018-05-09,item_1,65,66.0,2,19
2018-05-10,item_1,56,65.0,3,19
2018-05-11,item_1,76,56.0,4,19
2018-05-12,item_1,62,76.0,5,19
2018-05-13,item_1,64,62.0,6,19
2018-05-14,item_1,76,64.0,0,20
2018-05-15,item_1,77,76.0,1,20
2018-05-16,item_1,74,77.0,2,20
2018-05-17,item_1,64,74.0,3,20
2018-05-18,item_1,78,64.0,4,20
2018-05-19,item_1,59,78.0,5,20
2018-05-20,item_1,76,59.0,6,20
2018-05-21,item_1,58,76.0,0,21
2018-05-22,item_1,70,58.0,1,21
2018-05-23,item_1,69,70.0,2,21
2018-05-24,item_1,74,69.0,3,21
2018-05-25,item_1,51,74.0,4,21
2018-05-26,item_1,74,51.0,5,21
2018-05-27,item_1,81,74.0,6,21
2018-05-28,item_1,61,81.0,0,22
2018-05-29,item_1,74,61.0,1,22
2018-05-30,item_1,73,74.0,2,22
2018-05-31,item_1,73,73.0,3,22
2018-06-01,item_1,75,73.0,4,22
2018-06-02,item_1,72,75.0,5,22
2018-06-03,item_1,68,72.0,6,22
2018-06-04,item_1,84,68.0,0,23
2018-06-05,item_1,55,84.0,1,23
2018-06-06,item_1,76,55.0,2,23
2018-06-07,item_1,66,76.0,3,23
2018-06-08,item_1,65,66.0,4,23
2018-06-09,item_1,76,65.0,5,23
2018-06-10,item_1,82,76.0,6,23
2018-06-11,item_1,79,82.0,0,24
2018-06-12,item_1,62,79.0,1,24
2018-06-13,item_1,69,62.0,2,24
2018-06-14,item_1,78,69.0,3,24
2018-06-15,item_1,69,78.0,4,24
2018-06-16,item_1,78,69.0,5,24
2018-06-17,item_1,84,78.0,6,24
2018-06-18,item_1,80,84.0,0,25
2018-06-19,item_1,83,80.0,1,25
2018-06-20,item_1,57,83.0,2,25
2018-06-21,item_1,73,57.0,3,25
2018-06-22,item_1,70,73.0,4,25
2018-06-23,item_1,67,70.0,5,25
2018-06-24,item_1,78,67.0,6,25
2018-06-25,item_1,79,78.0,0,26
2018-06-26,item_1,71,79.0,1,26
2018-06-27,item_1,72,71.0,2,26
2018-06-28,item_1,83,72.0,3,26
2018-06-29,item_1,59,83.0,4,26
2018-06-30,item_1,78,59.0,5,26
2018-07-01,item_1,58,78.0,6,26
2018-07-02,item_1,76,58.0,0,27
2018-07-03,item_1,80,76.0,1,27
2018-07-04,item_1,57,80.0,2,27
2018-07-05,item_1,68,57.0,3,27
2018-07-06,item_1,78,68.0,4,27
2018-07-07,item_1,57,78.0,5,27
2018-07-08,item_1,72,57.0,6,27
2018-07-09,item_1,84,72.0,0,28
2018-07-10,item_1,71,84.0,1,28
2018-07-11,item_1,70,71.0,2,28
2018-07-12,item_1,59,70.0,3,28
2018-07-13,item_1,75,59.0,4,28
2018-07-14,item_1,68,75.0,5,28
2018-07-15,item_1,82,68.0,6,28
2018-07-16,item_1,94,82.0,0,29
2018-07-17,item_1,97,94.0,1,29
2018-07-18,item_1,83,97.0,2,29
2018-07-19,item_1,72,83.0,3,29
2018-07-20,item_1,71,72.0,4,29
2018-07-21,item_1,76,71.0,5,29
2018-07-22,item_1,74,76.0,6,29
2018-07-23,item_1,84,74.0,0,30
2018-07-24,item_1,83,84.0,1,30
2018-07-25,item_1,74,83.0,2,30
2018-07-26,item_1,62,74.0,3,30
2018-07-27,item_1,67,62.0,4,30
2018-07-28,item_1,72,67.0,5,30
2018-07-29,item_1,80,72.0,6,30
2018-07-30,item_1,77,80.0,0,31
2018-07-31,item_1,69,77.0,1,31
2018-08-01,item_1,82,69.0,2,31
2018-08-02,item_1,61,82.0,3,31
2018-08-03,item_1,68,61.0,4,31
2018-08-04,item_1,70,68.0,5,31
2018-08-05,item_1,65,70.0,6,31
2018-08-06,item_1,72,65.0,0,32
2018-08-07,item_1,64,72.0,1,32
2018-08-08,item_1,74,64.0,2,32
2018-08-09,item_1,75,74.0,3,32
2018-08-10,item_1,67,75.0,4,32
2018-08-11,item_1,75,67.0,5,32
2018-08-12,item_1,78,75.0,6,32
2018-08-13,item_1,81,78.0,0,33
